City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sobolevo,RU,54.4299,31.8996,23.86,78,100,3.85,overcast clouds
1,Grand Gaube,MU,-20.0064,57.6608,73.38,75,0,5.99,clear sky
2,Bluff,NZ,-46.6,168.3333,55.6,68,45,12.28,scattered clouds
3,Tuatapere,NZ,-46.1333,167.6833,58.3,60,53,7.49,broken clouds
4,Qui Nhon,VN,13.7667,109.2333,78.03,86,96,17.67,light rain
5,Kodiak,US,57.79,-152.4072,18.91,49,1,11.5,clear sky
6,Carnarvon,AU,-24.8667,113.6333,78.87,36,0,13.8,clear sky
7,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,37,0,8.05,clear sky
8,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,90,13.8,overcast clouds
9,Talara,PE,-4.5772,-81.2719,65.25,84,42,7.9,scattered clouds
10,Hithadhoo,MV,-0.6,73.0833,81.41,78,100,18.1,heavy intensity rain
11,Margate,GB,51.3813,1.3862,46.69,82,70,1.99,broken clouds
12,Norman Wells,CA,65.282,-126.8329,-18.36,69,75,5.75,light snow
13,Puerto Leguizamo,CO,-0.1934,-74.7819,72.82,97,100,2.01,overcast clouds
14,Upleta,IN,21.7333,70.2833,77.63,53,8,5.41,clear sky
15,Maldonado,UY,-34.6667,-54.9167,63.79,74,13,16.33,few clouds
16,Namanga,KE,-2.5433,36.7905,64.35,86,45,4.94,scattered clouds
17,Rantepao,ID,-2.9701,119.8978,82.56,60,16,2.59,few clouds
18,Hobart,AU,-42.8794,147.3294,73.26,55,75,1.99,broken clouds
19,Kuytun,RU,54.3419,101.5036,14.45,94,100,2.35,overcast clouds
20,Tasiilaq,GL,65.6145,-37.6368,26.76,60,94,9.15,overcast clouds
21,Prince Rupert,CA,54.3161,-130.3201,42.89,74,90,8.05,light rain
22,Portland,US,45.5234,-122.6762,46.72,89,90,4.61,overcast clouds
23,Sherbakul,RU,54.6316,72.3963,29.88,94,100,14.43,overcast clouds
24,Cape Town,ZA,-33.9258,18.4232,64.11,66,0,20.71,clear sky
25,Pevek,RU,69.7008,170.3133,-19.14,97,19,2.89,few clouds
26,East London,ZA,-33.0153,27.9116,66.18,86,100,19.33,light rain
27,Lavrentiya,RU,65.5833,-171.0,-1.37,92,10,9.62,clear sky
28,Pudozh,RU,61.8099,36.5345,9.01,97,44,0.65,scattered clouds
29,Ushuaia,AR,-54.8,-68.3,38.86,70,75,17.27,broken clouds
30,San Vicente,AR,-26.6167,-54.1333,68.56,60,100,1.77,overcast clouds
31,Mount Pleasant,US,32.7941,-79.8626,55.99,92,100,3.0,overcast clouds
32,Vaini,TO,-21.2,-175.2,82.56,78,20,9.22,few clouds
33,Mataura,NZ,-46.1927,168.8643,63.0,45,83,5.39,broken clouds
34,Saint-Philippe,RE,-21.3585,55.7679,73.22,75,24,8.39,few clouds
35,Dikson,RU,73.5069,80.5464,-11.54,94,100,17.74,overcast clouds
36,Bredasdorp,ZA,-34.5322,20.0403,52.29,76,44,6.33,scattered clouds
37,Spornoye,RU,50.8448,37.2913,28.42,82,100,5.68,overcast clouds
38,Severo-Kurilsk,RU,50.6789,156.125,37.71,82,95,15.01,overcast clouds
39,Grindavik,IS,63.8424,-22.4338,39.67,81,75,13.8,broken clouds
40,Doha,QA,25.2867,51.5333,73.38,95,0,3.44,clear sky
41,Rikitea,PF,-23.1203,-134.9692,75.81,72,0,10.65,clear sky
42,Busselton,AU,-33.65,115.3333,67.05,43,0,0.22,clear sky
43,Benghazi,LY,32.1167,20.0667,66.02,56,100,20.74,overcast clouds
44,Henties Bay,NA,-22.116,14.2845,58.86,94,0,5.01,clear sky
45,Lujan,AR,-34.5703,-59.105,70.02,43,64,8.01,broken clouds
46,Asfi,MA,32.2994,-9.2372,61.81,74,87,4.18,overcast clouds
47,Hilo,US,19.7297,-155.09,84.27,96,90,0.0,moderate rain
48,Luderitz,NA,-26.6481,15.1594,59.58,86,5,13.02,clear sky
49,Lasa,IT,46.6166,10.7002,40.37,91,78,2.28,broken clouds
50,Clyde River,CA,70.4692,-68.5914,14.23,92,100,16.11,light snow
51,Yarmouth,US,41.7057,-70.2286,46.15,71,90,9.22,overcast clouds
52,Georgetown,MY,5.4112,100.3354,84.13,83,20,3.44,few clouds
53,Ribeira Grande,PT,38.5167,-28.7,65.89,85,27,19.6,scattered clouds
54,Souillac,MU,-20.5167,57.5167,73.36,94,40,3.44,scattered clouds
55,Sete Lagoas,BR,-19.4658,-44.2467,70.12,94,7,4.97,clear sky
56,Kapaa,US,22.0752,-159.319,82.38,75,90,1.99,overcast clouds
57,Road Town,VG,18.4167,-64.6167,78.89,70,22,12.53,few clouds
58,Chokurdakh,RU,70.6333,147.9167,-14.89,100,100,4.76,overcast clouds
59,Touros,BR,-5.1989,-35.4608,79.7,76,93,12.93,overcast clouds
60,Persianovskiy,RU,47.5137,40.1075,50.56,100,40,6.71,scattered clouds
61,Avarua,CK,-21.2078,-159.775,78.85,69,75,5.75,broken clouds
62,New Norfolk,AU,-42.7826,147.0587,72.91,46,100,3.0,overcast clouds
63,Aden,YE,12.7794,45.0367,78.67,70,85,6.64,overcast clouds
64,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,84,20,9.22,few clouds
65,Paamiut,GL,61.994,-49.6678,12.58,79,1,7.96,clear sky
66,Punta Arenas,CL,-53.15,-70.9167,41.11,60,75,2.3,broken clouds
67,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,40,3.44,scattered clouds
68,Tura,IN,25.5198,90.2201,67.5,66,0,1.83,clear sky
69,Mareeba,AU,-17.0,145.4333,98.44,41,3,3.18,clear sky
70,Albany,US,42.6001,-73.9662,33.37,73,13,1.99,few clouds
71,Cherskiy,RU,68.75,161.3,-32.39,100,15,2.21,few clouds
72,Havoysund,NO,70.9963,24.6622,27.48,75,100,11.05,overcast clouds
73,Butaritari,KI,3.0707,172.7902,81.95,77,22,11.56,light rain
74,Kavieng,PG,-2.5744,150.7967,84.4,76,51,12.91,light rain
75,Bengkulu,ID,-3.8004,102.2655,79.74,76,99,1.68,overcast clouds
76,Bom Jesus,BR,-9.0744,-44.3586,80.53,59,99,1.72,moderate rain
77,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,11.5,scattered clouds
78,Shirakawa,JP,37.1223,140.2376,54.18,54,15,10.89,few clouds
79,Amapa,BR,1.0,-52.0,71.02,99,27,1.36,scattered clouds
80,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,89,87,14.45,overcast clouds
81,Cabo San Lucas,MX,22.8909,-109.9124,76.3,76,1,3.44,clear sky
82,Mahebourg,MU,-20.4081,57.7,72.25,94,40,3.44,scattered clouds
83,Ardabil,IR,38.2498,48.2933,41.97,71,0,7.29,clear sky
84,Villarrica,PY,-25.75,-56.4333,76.77,51,100,2.35,overcast clouds
85,Neiafu,TO,-18.65,-173.9833,84.88,65,40,5.75,scattered clouds
86,Chuy,UY,-33.6971,-53.4616,66.36,63,12,17.45,few clouds
87,Torbay,CA,47.6666,-52.7314,38.26,87,20,12.66,few clouds
88,Atambua,ID,-9.1061,124.8925,85.53,60,83,3.15,broken clouds
89,Raton,US,36.9034,-104.4391,46.74,23,1,5.75,clear sky
90,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,98,6.51,overcast clouds
91,Castro,BR,-24.7911,-50.0119,62.24,60,5,2.51,clear sky
92,Kandrian,PG,-6.2167,149.55,85.14,69,51,5.08,light rain
93,Nokaneng,BW,-19.6667,22.2667,71.82,59,97,8.66,overcast clouds
94,Surt,LY,31.2089,16.5887,69.64,46,100,14.88,overcast clouds
95,Esperance,AU,-33.8667,121.9,60.64,71,100,16.91,overcast clouds
96,Malinyi,TZ,-8.9333,36.1333,70.57,70,24,1.14,few clouds
97,Antalaha,MG,-14.9003,50.2788,73.38,80,96,3.69,light rain
98,Ponta Delgada,PT,37.7333,-25.6667,68.5,88,40,16.11,scattered clouds
99,Dire,ML,12.2833,-10.9667,73.22,29,19,2.46,few clouds
100,Thompson,CA,55.7435,-97.8558,-2.04,71,75,4.61,broken clouds
101,Svetlogorsk,BY,52.6333,29.7333,25.25,72,34,1.77,scattered clouds
102,Tres Arroyos,AR,-38.3739,-60.2798,47.35,86,1,4.92,clear sky
103,Ahuimanu,US,21.4447,-157.8378,82.11,74,90,11.5,overcast clouds
104,Kruisfontein,ZA,-34.0033,24.7314,59.88,88,100,12.53,light rain
105,Dryden,CA,49.7833,-92.7503,12.49,85,1,3.44,clear sky
106,Saskylakh,RU,71.9167,114.0833,-25.06,98,13,8.39,few clouds
107,Bowen,AU,-20.0167,148.2333,86.22,62,100,11.65,overcast clouds
108,Karratha,AU,-20.7377,116.8463,88.09,45,86,6.22,overcast clouds
109,Kautokeino,NO,69.0125,23.0412,5.34,93,100,8.79,overcast clouds
110,Ucluelet,CA,48.9329,-125.5528,48.09,92,100,3.0,overcast clouds
111,Taoudenni,ML,22.6783,-3.9836,79.29,35,100,7.65,overcast clouds
112,Hamilton,US,39.1834,-84.5333,31.98,68,1,6.91,clear sky
113,Booue,GA,-0.0921,11.9385,72.1,98,81,1.3,light rain
114,Port Alfred,ZA,-33.5906,26.891,65.52,84,100,22.44,light rain
115,Jamestown,US,42.097,-79.2353,33.39,66,90,5.01,light snow
116,San Patricio,US,28.017,-97.5169,67.84,48,100,7.83,overcast clouds
117,Qaanaaq,GL,77.484,-69.3632,-6.36,85,98,5.3,overcast clouds
118,Lebu,CL,-37.6167,-73.65,54.93,84,0,20.31,clear sky
119,Torbat-E Jam,IR,35.244,60.6225,54.81,32,100,0.96,overcast clouds
120,Puerto Ayora,EC,-0.7393,-90.3518,68.38,75,35,8.34,scattered clouds
121,Ponta Pora,BR,-22.5361,-55.7256,69.69,51,82,4.9,broken clouds
122,Panjab,AF,34.388,67.0233,27.59,65,23,3.53,few clouds
123,Tucuman,AR,-26.8241,-65.2226,80.6,65,20,10.36,few clouds
124,Nikolskoye,RU,59.7035,30.7861,26.8,94,100,5.01,overcast clouds
125,Nanyamba,TZ,-10.6833,39.8333,67.42,97,60,2.77,broken clouds
126,Provost,CA,52.3501,-110.2683,42.22,79,100,8.32,overcast clouds
127,Saldanha,ZA,-33.0117,17.9442,59.05,83,0,13.47,clear sky
128,Mvuma,ZW,-19.2792,30.5283,64.92,88,100,3.36,light rain
129,Faya,SA,18.3851,42.4509,53.71,70,13,1.97,few clouds
130,Port Blair,IN,11.6667,92.75,82.94,78,59,8.79,light rain
131,Yellowknife,CA,62.456,-114.3525,-7.58,73,20,1.99,few clouds
132,Anchorage,US,61.2181,-149.9003,8.64,77,90,3.44,light snow
133,Tsabong,BW,-26.0217,22.401,63.73,34,0,10.04,clear sky
134,Ilulissat,GL,69.2167,-51.1,15.82,73,20,11.5,few clouds
135,Meulaboh,ID,4.1363,96.1285,76.93,87,100,3.06,overcast clouds
136,Linhares,BR,-19.3911,-40.0722,66.92,84,83,2.46,broken clouds
137,Antofagasta,CL,-23.65,-70.4,61.88,73,97,1.79,overcast clouds
138,Cayenne,GF,4.9333,-52.3333,80.1,85,40,1.01,scattered clouds
139,Sinnamary,GF,5.3833,-52.95,78.13,87,67,7.83,broken clouds
140,Bilma,NE,18.6853,12.9164,72.55,23,0,8.88,clear sky
141,Lakselv,NO,70.0513,24.9718,21.02,79,0,20.71,clear sky
142,Rawson,AR,-43.3002,-65.1023,51.17,55,90,12.44,overcast clouds
143,Mezen,RU,65.8522,44.24,20.12,88,100,9.82,overcast clouds
144,Nemuro,JP,43.3236,145.575,46.83,63,17,28.3,few clouds
145,Hermanus,ZA,-34.4187,19.2345,52.81,78,19,9.93,few clouds
146,Kattivakkam,IN,13.2167,80.3167,80.69,95,100,6.42,overcast clouds
147,Atuona,PF,-9.8,-139.0333,77.29,77,100,8.66,light rain
148,Arraial Do Cabo,BR,-22.9661,-42.0278,70.03,72,10,15.7,clear sky
149,Pedro Carbo,EC,-1.8333,-80.2333,74.68,74,93,5.82,overcast clouds
150,Fortuna,US,40.5982,-124.1573,49.98,72,1,1.01,clear sky
151,Buraydah,SA,26.326,43.975,59.45,75,3,8.84,clear sky
152,Mgandu,TZ,-5.95,34.1333,64.67,59,61,2.35,broken clouds
153,Tiznit,MA,29.5833,-9.5,57.58,63,7,0.13,clear sky
154,Moree,AU,-29.4667,149.85,84.22,48,40,13.8,scattered clouds
155,Mamallapuram,IN,12.6264,80.1722,80.65,83,99,8.7,overcast clouds
156,Ahipara,NZ,-35.1667,173.1667,68.29,64,16,11.72,few clouds
157,Airai,TL,-8.9266,125.4092,75.56,55,92,1.39,overcast clouds
158,Nara,JP,34.6851,135.8049,53.49,32,11,15.32,few clouds
159,Abakaliki,NG,6.3163,8.1169,76.1,91,86,6.13,overcast clouds
160,Iqaluit,CA,63.7506,-68.5145,28.13,74,90,13.0,overcast clouds
161,Date,JP,42.4681,140.8681,38.23,74,68,23.58,broken clouds
162,Salalah,OM,17.0151,54.0924,82.49,16,0,10.36,clear sky
163,Batagay,RU,67.6333,134.6333,-29.24,99,21,3.06,few clouds
164,Paso De Carrasco,UY,-34.8603,-56.0522,65.25,52,20,14.97,few clouds
165,Farmington,US,36.7281,-108.2187,43.48,34,1,0.0,clear sky
166,Laurens,US,32.4502,-82.9165,55.78,50,1,9.22,clear sky
167,Sale,MA,34.0389,-6.8166,59.76,94,75,5.75,broken clouds
168,Sal Rei,CV,16.1833,-22.9167,75.76,80,9,18.52,clear sky
169,Valparaiso,CL,-33.0393,-71.6273,58.12,88,90,8.05,haze
170,Longyearbyen,SJ,78.2186,15.6401,3.04,72,20,10.36,few clouds
171,Quang Ngai,VN,15.1167,108.8,76.26,88,100,11.07,overcast clouds
172,Honningsvag,NO,70.9821,25.9704,27.99,62,100,14.36,overcast clouds
173,Zongolica,MX,18.6667,-96.9833,63.37,99,100,1.3,overcast clouds
174,Mtwara,TZ,-10.2667,40.1833,76.86,80,37,6.11,scattered clouds
175,Faanui,PF,-16.4833,-151.75,81.28,73,100,7.18,light rain
176,Adrar,MR,20.5022,-10.0711,75.06,44,100,10.02,overcast clouds
177,Upernavik,GL,72.7868,-56.1549,2.53,88,7,6.24,clear sky
178,Barrow,US,71.2906,-156.7887,-5.78,77,20,3.44,few clouds
179,Viedma,AR,-40.8135,-62.9967,51.44,63,0,7.54,clear sky
180,Lebanon,US,36.2081,-86.2911,35.96,76,1,4.61,clear sky
181,Arlit,NE,18.7369,7.3853,72.0,20,0,3.2,clear sky
182,Coquimbo,CL,-29.9533,-71.3436,58.73,82,90,6.91,overcast clouds
183,Sakakah,SA,29.9697,40.2064,51.37,65,0,3.0,clear sky
184,Alakurtti,RU,66.9672,30.3491,3.49,98,48,3.87,scattered clouds
185,Shebunino,RU,46.4339,141.8603,32.2,74,99,26.57,overcast clouds
186,Kloulklubed,PW,7.0419,134.2556,88.3,76,81,13.85,broken clouds
187,Yumen,CN,40.2833,97.2,27.45,37,3,23.42,clear sky
188,Nanortalik,GL,60.1432,-45.2371,21.99,76,5,15.73,clear sky
189,Dunedin,NZ,-45.8742,170.5036,56.19,61,6,6.82,clear sky
190,Provideniya,RU,64.3833,-173.3,10.51,61,20,20.13,few clouds
191,Sarandi,BR,-23.4436,-51.8739,76.55,38,0,5.75,clear sky
192,Buchanan,LR,5.8808,-10.0467,77.43,87,20,5.53,light rain
193,Ouahigouya,BF,13.5828,-2.4216,76.24,17,5,10.22,clear sky
194,Beringovskiy,RU,63.05,179.3167,-1.91,98,94,13.44,overcast clouds
195,Amahai,ID,-3.3333,128.9167,86.05,64,40,2.84,scattered clouds
196,Kariba,ZW,-16.5167,28.8,73.85,79,91,3.06,overcast clouds
197,Gazojak,TM,41.1875,61.4036,43.52,58,7,7.34,clear sky
198,Bolobo,CD,-2.1667,16.2333,71.06,92,65,2.57,broken clouds
199,Katsuura,JP,35.1333,140.3,64.18,80,96,14.83,overcast clouds
200,Tsuruoka,JP,38.7217,139.8217,47.41,93,75,33.38,mist
201,Barra Patuca,HN,15.8,-84.2833,78.46,81,7,11.45,clear sky
202,Labuhan,ID,-6.8844,112.2051,83.17,70,99,4.74,light rain
203,Kamenka,RU,51.3223,42.7678,28.74,82,100,5.21,overcast clouds
204,Kostomuksha,RU,64.571,30.5767,15.42,79,5,6.53,clear sky
205,Bandarbeyla,SO,9.4942,50.8122,76.19,70,75,9.55,broken clouds
206,Praia,CV,14.9215,-23.5087,77.54,73,20,16.11,few clouds
207,Tias,ES,28.9611,-13.645,64.08,82,0,1.14,clear sky
208,Bom Jardim,BR,-7.7958,-35.5872,75.54,83,84,3.94,broken clouds
209,Geraldton,AU,-28.7667,114.6,76.12,43,0,12.66,clear sky
210,Pedasi,PA,7.5333,-80.0333,76.06,83,100,12.68,overcast clouds
211,Khatanga,RU,71.9667,102.5,-3.62,79,97,22.19,overcast clouds
212,Pinawa,CA,50.1489,-95.8811,10.92,91,58,4.99,broken clouds
213,Simao,CN,22.7886,100.9748,64.94,75,14,3.24,few clouds
214,Pacific Grove,US,36.6177,-121.9166,64.62,43,1,1.99,clear sky
215,Borovskoy,KZ,53.8,64.15,22.33,86,37,14.07,scattered clouds
216,Abalak,RU,58.1286,68.5944,18.45,94,100,9.6,overcast clouds
217,Washington,US,47.5001,-120.5015,40.24,80,7,1.16,clear sky
218,Dimataling,PH,7.5344,123.3738,84.24,74,100,5.61,overcast clouds
219,Ngunguru,NZ,-35.6167,174.5,74.16,69,10,13.18,clear sky
220,Sandy Bay,AU,-42.913,147.3532,73.29,54,75,1.99,broken clouds
221,Slave Lake,CA,55.2834,-114.769,22.98,100,20,8.05,mist
222,Pallisa,UG,1.145,33.7094,64.36,74,100,3.42,overcast clouds
223,Nurobod,UZ,40.9056,69.8023,38.25,44,9,8.48,clear sky
224,Anadyr,RU,64.75,177.4833,-12.5,84,0,8.95,clear sky
225,Klaksvik,FO,62.2266,-6.589,47.32,79,100,30.09,overcast clouds
226,Lakes Entrance,AU,-37.8811,147.981,79.57,58,100,6.49,overcast clouds
227,Port Lincoln,AU,-34.7333,135.8667,64.74,74,100,12.19,overcast clouds
228,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.15,70,48,4.76,scattered clouds
229,Cravo Norte,CO,6.3017,-70.2041,78.19,77,17,4.45,few clouds
